::
all
ancestor
ancestor-or-self
and
annotation
any
anyAttribute
as
ascending
at
attribute
attributeGroup
by
case
cast
castable
child
choice
collation
comment
complexContent
construction
copy-namespaces
declare
default
define
descendant
descendant-or-self
descending
document
document-node
element
else
empty
empty-sequence
every
expanded-QName
extends
external
fixed
for
function
greatest
group
if
import
in
include
inherit
item
lax
least
lenght
let
maxLenght
maxOccurs
minLenght
mixed
module
namespace
nillable
node
no-inherit
none
nonNegativeInteger
no-preserve
notation
of
option
optional
or
order
ordered
ordering
parent
preserve
processing-instruction
prohibited
redefine
required
restricts
satisfies
schema
schema-element
self
sequence
simpleContent
some
stable
strict
strip
substitutes
substitutionGroup
text
then
type
typeswitch
unbounded
unordered
use
validate
variable
